chars,ext,extraction_status,file,ocr_failed_pages,text_path,used_ocr
85085,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__the-potent__335076.pdf,,project_output\05_extraction\NTV__busca1__pubmed__the-potent__335076.txt,False
78515,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__exploring-__50c4f8.pdf,,project_output\05_extraction\NTV__busca1__europe__exploring-__50c4f8.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__brief-diet__3bf5e7.html,,project_output\05_extraction\NTV__busca1__europe__brief-diet__3bf5e7.txt,False
40379,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__adherence-__032611.pdf,,project_output\05_extraction\NTV__busca1__europe__adherence-__032611.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__adherence-__a2342d.html,,project_output\05_extraction\NTV__busca1__openal__adherence-__a2342d.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__adherence-__9ade54.html,,project_output\05_extraction\NTV__busca1__openal__adherence-__9ade54.txt,False
11,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__openal__associatio__b8f182.html,,project_output\05_extraction\NTV__busca1__openal__associatio__b8f182.txt,False
55521,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__physical-a__5e758d.pdf,,project_output\05_extraction\NTV__busca1__pubmed__physical-a__5e758d.txt,False
23500,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__interventi__457db5.html,,project_output\05_extraction\NTV__busca1__europe__interventi__457db5.txt,False
48444,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__europe__the-role-o__15e3a9.pdf,,project_output\05_extraction\NTV__busca1__europe__the-role-o__15e3a9.txt,False
85095,pdf,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__pubmed__an-individ__245b0e.pdf,,project_output\05_extraction\NTV__busca1__pubmed__an-individ__245b0e.txt,False
603,html,ok,project_output\03_corpus\03B_public_downloads\NTV__busca1__crossr__clinical-g__f1f047.html,,project_output\05_extraction\NTV__busca1__crossr__clinical-g__f1f047.txt,False
